text,label,action,context_features,session_id,turn_number,speaker,content,conversation_type,budget_type,user_profile,expected_action,confidence,metadata
"Context: [user]: Can you help me understand concept? | [assistant]: I'm doing well, thank you for asking! | Turn 4, Budget: minimal | Current: [user]: Perfect",2,drop,"[4.0, 7.0, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_2237,4,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7077324443759144,"{""template"": ""casual_chat"", ""turn_ratio"": 0.5, ""content_length"": 7}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_9982,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.701491274812268,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: Can you help me understand concept? | [assistant]: Feel free to ask if you have more questions. | Turn 4, Budget: minimal | Current: [user]: Perfect",2,drop,"[4.0, 7.0, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_8940,4,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.764559732416988,"{""template"": ""casual_chat"", ""turn_ratio"": 0.8, ""content_length"": 7}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_1791,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7812300073257037,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: Can you explain topic in simple terms? | [assistant]: That's an important consideration. | Turn 2, Budget: standard | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.5, 0.0, 0.0, 1.0, 0.0]",educational_qa_1701,2,user,I'm particularly interested in aspect,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5180240999040628,"{""template"": ""educational_qa"", ""turn_ratio"": 0.25, ""content_length"": 37}"
"Context: [assistant]: Nice to meet you! New York is a great place for consultants. | [user]: That's very helpful | Turn 5, Budget: standard | Current: [assistant]: Working at TechCorp must be exciting.",0,store,"[5.0, 37.0, 6.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_9423,5,assistant,Working at TechCorp must be exciting.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7672613863530603,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.45454545454545453, ""content_length"": 37}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: What's the difference between term1 and term2?",0,store,"[0.0, 46.0, 7.0, 0.0, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0]",educational_qa_2241,0,user,What's the difference between term1 and term2?,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.660159665765065,"{""template"": ""educational_qa"", ""turn_ratio"": 0.0, ""content_length"": 46}"
"Context: [user]: Alright | [assistant]: I'm doing well, thank you for asking! | Turn 2, Budget: minimal | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_1791,2,user,I'm particularly interested in aspect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.06275518358578891,"{""template"": ""casual_chat"", ""turn_ratio"": 0.2857142857142857, ""content_length"": 37}"
"Context: [user]: Can you explain how technology works in context? | Turn 1, Budget: premium | Current: [assistant]: Based on your product manager background, I'd suggest...",0,store,"[1.0, 56.0, 8.0, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_1148,1,assistant,"Based on your product manager background, I'd suggest...",technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7705804009619189,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.1, ""content_length"": 56}"
"Context: [user]: I see | [assistant]: I'm doing well, thank you for asking! | Turn 2, Budget: minimal | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_6316,2,user,I'm particularly interested in aspect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.14548031346667503,"{""template"": ""casual_chat"", ""turn_ratio"": 0.25, ""content_length"": 37}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_8940,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6427912441186774,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: Can you help me understand concept? | [assistant]: That's an important consideration. | Turn 4, Budget: premium | Current: [user]: Thanks for the explanation!",0,store,"[4.0, 27.0, 4.0, 0.0, 0.8, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_9104,4,user,Thanks for the explanation!,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6036632698968626,"{""template"": ""business_consultation"", ""turn_ratio"": 0.26666666666666666, ""content_length"": 27}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: I live in San Francisco and I'm interested in machine learning, startups",0,store,"[0.0, 72.0, 12.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]",personal_information_sharing_9951,0,user,"I live in San Francisco and I'm interested in machine learning, startups",personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.777921339103662,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.0, ""content_length"": 72}"
"Context: [user]: I read that fact but I don't understand aspect | [assistant]: I can help you with that. | Turn 2, Budget: standard | Current: [user]: What would you recommend for situation?",0,store,"[2.0, 39.0, 6.0, 0.0, 0.6666666666666666, 0.5, 0.0, 1.0, 0.0, 0.0]",educational_qa_9602,2,user,What would you recommend for situation?,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6651363233689497,"{""template"": ""educational_qa"", ""turn_ratio"": 0.2857142857142857, ""content_length"": 39}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Perfect",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_1343,0,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.702787439259803,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: That's very helpful | [assistant]: I understand your situation. | Turn 6, Budget: premium | Current: [user]: I appreciate your help",0,store,"[6.0, 22.0, 4.0, 0.0, 0.8571428571428571, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_2756,6,user,I appreciate your help,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6859205690317461,"{""template"": ""business_consultation"", ""turn_ratio"": 0.375, ""content_length"": 22}"
"Context: [user]: Can you help me understand concept? | [assistant]: Feel free to ask if you have more questions. | Turn 4, Budget: minimal | Current: [user]: Alright",2,drop,"[4.0, 7.0, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_1281,4,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6741793814540414,"{""template"": ""casual_chat"", ""turn_ratio"": 0.5714285714285714, ""content_length"": 7}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: My background is in field with years years of experience",0,store,"[0.0, 56.0, 10.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]",personal_information_sharing_9717,0,user,My background is in field with years years of experience,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8081734607413011,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.0, ""content_length"": 56}"
"Context: [user]: That's very helpful | [assistant]: The challenge you're facing with integration complexity is common... | Turn 14, Budget: premium | Current: [user]: That's very helpful",0,store,"[14.0, 19.0, 3.0, 0.0, 0.9333333333333333, 1.0, 0.0, 0.0, 0.0, 1.0]",technical_deep_dive_3652,14,user,That's very helpful,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7732651252701036,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.9333333333333333, ""content_length"": 19}"
"Context: [assistant]: In the context of manufacturing, the key considerations are... | [user]: That's very helpful | Turn 7, Budget: premium | Current: [assistant]: That's a great question about data engineering. Let me explain...",0,store,"[7.0, 65.0, 10.0, 1.0, 0.875, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_1723,7,assistant,That's a great question about data engineering. Let me explain...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.764420530277213,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.7777777777777778, ""content_length"": 65}"
"Context: [assistant]: That's a great question about machine learning. Let me explain... | [user]: I appreciate your help | Turn 5, Budget: premium | Current: [assistant]: That's a great question about machine learning. Let me explain...",0,store,"[5.0, 65.0, 10.0, 1.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_7996,5,assistant,That's a great question about machine learning. Let me explain...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7551018843685346,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.3333333333333333, ""content_length"": 65}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: I see",2,drop,"[0.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_9819,0,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6964088067204451,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 5}"
"Context: [user]: Can you help me understand concept? | [assistant]: I'm doing well, thank you for asking! | Turn 4, Budget: minimal | Current: [user]: I see",2,drop,"[4.0, 5.0, 2.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_4467,4,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6764554665211566,"{""template"": ""casual_chat"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 5}"
"Context: [user]: That's very helpful | [assistant]: That's a great question about cloud computing. Let me explain... | Turn 6, Budget: premium | Current: [user]: That's very helpful",0,store,"[6.0, 19.0, 3.0, 0.0, 0.8571428571428571, 1.0, 0.0, 0.0, 0.0, 1.0]",technical_deep_dive_7597,6,user,That's very helpful,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.6849804857066206,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.46153846153846156, ""content_length"": 19}"
"Context: [assistant]: I understand your situation. | [user]: I'm particularly interested in aspect | Turn 3, Budget: premium | Current: [assistant]: Let me provide some guidance on that.",0,store,"[3.0, 37.0, 7.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0]",business_consultation_4088,3,assistant,Let me provide some guidance on that.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5206899499520535,"{""template"": ""business_consultation"", ""turn_ratio"": 0.1875, ""content_length"": 37}"
"Context: [user]: I appreciate your help | [assistant]: Your experience in healthcare sounds fascinating. | Turn 6, Budget: standard | Current: [user]: I appreciate your help",0,store,"[6.0, 22.0, 4.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",personal_information_sharing_3044,6,user,I appreciate your help,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7165499565379553,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.75, ""content_length"": 22}"
"Context: [assistant]: I understand your situation. | [user]: I appreciate your help | Turn 5, Budget: premium | Current: [assistant]: I understand your situation.",0,store,"[5.0, 28.0, 4.0, 1.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_5146,5,assistant,I understand your situation.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6432459118808369,"{""template"": ""business_consultation"", ""turn_ratio"": 0.38461538461538464, ""content_length"": 28}"
"Context: [user]: Can you help me understand concept? | [assistant]: I understand your situation. | Turn 4, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[4.0, 27.0, 4.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_4512,4,user,Thanks for the explanation!,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6265010268204517,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.5, ""content_length"": 27}"
"Context: [user]: Hi, my name is Maria Rodriguez and I work as a software engineer | Turn 1, Budget: standard | Current: [assistant]: Nice to meet you! New York is a great place for software engineers.",0,store,"[1.0, 67.0, 13.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_5769,1,assistant,Nice to meet you! New York is a great place for software engineers.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7940835256655444,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.14285714285714285, ""content_length"": 67}"
"Context: [assistant]: That's an important consideration. | [user]: That's very helpful | Turn 9, Budget: standard | Current: [assistant]: That's an important consideration.",0,store,"[9.0, 34.0, 4.0, 1.0, 0.9, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_9542,9,assistant,That's an important consideration.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5383410050059438,"{""template"": ""educational_qa"", ""turn_ratio"": 0.9, ""content_length"": 34}"
"Context: [assistant]: Working at TechCorp must be exciting. | [user]: That's very helpful | Turn 5, Budget: standard | Current: [assistant]: Working at TechCorp must be exciting.",0,store,"[5.0, 37.0, 6.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_2713,5,assistant,Working at TechCorp must be exciting.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7120868843919792,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.45454545454545453, ""content_length"": 37}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_9206,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6463317907071296,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: That's interesting | [assistant]: Feel free to ask if you have more questions. | Turn 2, Budget: minimal | Current: [user]: What would you recommend for situation?",0,store,"[2.0, 39.0, 6.0, 0.0, 0.6666666666666666, 0.0, 0.0, 1.0, 0.0, 0.0]",casual_chat_6707,2,user,What would you recommend for situation?,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.0730179362494772,"{""template"": ""casual_chat"", ""turn_ratio"": 0.3333333333333333, ""content_length"": 39}"
