text,label,action,context_features,session_id,turn_number,speaker,content,conversation_type,budget_type,user_profile,expected_action,confidence,metadata
"Context: [assistant]: I understand your situation. | [user]: What would you recommend for situation? | Turn 3, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[3.0, 28.0, 4.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_9291,3,assistant,I understand your situation.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6085734987453703,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.23076923076923078, ""content_length"": 28}"
"Context: [user]: Got it, thanks | [assistant]: I'm doing well, thank you for asking! | Turn 6, Budget: minimal | Current: [user]: Thanks for the explanation!",0,store,"[6.0, 27.0, 4.0, 0.0, 0.8571428571428571, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_1791,6,user,Thanks for the explanation!,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.06898145351464417,"{""template"": ""casual_chat"", ""turn_ratio"": 0.8571428571428571, ""content_length"": 27}"
"Context: [user]: I'm having an issue with system where problem | [assistant]: I can help you with that. | Turn 2, Budget: standard | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.5, 0.0, 0.0, 1.0, 0.0]",troubleshooting_session_6529,2,user,I'm particularly interested in aspect,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.7035317224970997,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.2, ""content_length"": 37}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_3758,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7021264415032771,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: What would you recommend for situation? | [assistant]: I understand your situation. | Turn 4, Budget: standard | Current: [user]: I appreciate your help",0,store,"[4.0, 22.0, 4.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_6772,4,user,I appreciate your help,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6729506063542235,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.5714285714285714, ""content_length"": 22}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Perfect",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_3914,0,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6724255213035479,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: I'm currently working on project at company",0,store,"[0.0, 43.0, 7.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]",personal_information_sharing_3377,0,user,I'm currently working on project at company,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8521134033755756,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.0, ""content_length"": 43}"
"Context: [user]: Got it, thanks | [assistant]: Feel free to ask if you have more questions. | Turn 6, Budget: minimal | Current: [user]: I appreciate your help",0,store,"[6.0, 22.0, 4.0, 0.0, 0.8571428571428571, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_9841,6,user,I appreciate your help,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.08134912542317936,"{""template"": ""casual_chat"", ""turn_ratio"": 0.8571428571428571, ""content_length"": 22}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Perfect",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_4467,0,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7577736866702882,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: That's very helpful | [assistant]: Nice to meet you! Tokyo is a great place for designers. | Turn 6, Budget: standard | Current: [user]: That's very helpful",0,store,"[6.0, 19.0, 3.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",personal_information_sharing_8413,6,user,That's very helpful,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8886225259493943,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.5, ""content_length"": 19}"
"Context: [user]: I'm having an issue with system where problem | [assistant]: I can help you with that. | Turn 2, Budget: standard | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.5, 0.0, 0.0, 1.0, 0.0]",troubleshooting_session_8027,2,user,I'm particularly interested in aspect,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.600472250261928,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.2222222222222222, ""content_length"": 37}"
"Context: [assistant]: Working at BigTech Inc must be exciting. | [user]: I appreciate your help | Turn 5, Budget: standard | Current: [assistant]: Your interests in photography, travel align well with your profession.",0,store,"[5.0, 70.0, 10.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_2979,5,assistant,"Your interests in photography, travel align well with your profession.",personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8591096548733895,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.8333333333333334, ""content_length"": 70}"
"Context: [assistant]: In the context of entertainment, the key considerations are... | [user]: Thanks for the explanation! | Turn 9, Budget: premium | Current: [assistant]: That's a great question about blockchain. Let me explain...",0,store,"[9.0, 59.0, 9.0, 1.0, 0.9, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_9683,9,assistant,That's a great question about blockchain. Let me explain...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7998895709909013,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.9, ""content_length"": 59}"
"Context: [user]: What would you recommend for situation? | [assistant]: I'm doing well, thank you for asking! | Turn 4, Budget: minimal | Current: [user]: I see",2,drop,"[4.0, 5.0, 2.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_6707,4,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7645675225500224,"{""template"": ""casual_chat"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 5}"
"Context: [user]: I read that fact but I don't understand aspect | [assistant]: I understand your situation. | Turn 2, Budget: standard | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.5, 0.0, 0.0, 1.0, 0.0]",educational_qa_5661,2,user,I'm particularly interested in aspect,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5716872990548697,"{""template"": ""educational_qa"", ""turn_ratio"": 0.3333333333333333, ""content_length"": 37}"
"Context: [user]: I appreciate your help | [assistant]: I can help you with that. | Turn 8, Budget: premium | Current: [user]: Thanks for the explanation!",0,store,"[8.0, 27.0, 4.0, 0.0, 0.8888888888888888, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_4088,8,user,Thanks for the explanation!,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5847547617660839,"{""template"": ""business_consultation"", ""turn_ratio"": 0.5, ""content_length"": 27}"
"Context: [user]: The documentation says quote but I'm confused about aspect | Turn 1, Budget: premium | Current: [assistant]: That's a great question about blockchain. Let me explain...",0,store,"[1.0, 59.0, 9.0, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_2652,1,assistant,That's a great question about blockchain. Let me explain...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7074450341959126,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.1, ""content_length"": 59}"
"Context: [user]: Can you explain topic in simple terms? | Turn 1, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[1.0, 28.0, 4.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_2752,1,assistant,I understand your situation.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6704863906063476,"{""template"": ""educational_qa"", ""turn_ratio"": 0.1, ""content_length"": 28}"
"Context: [user]: I appreciate your help | [assistant]: Let me provide some guidance on that. | Turn 14, Budget: premium | Current: [user]: Thanks for the explanation!",0,store,"[14.0, 27.0, 4.0, 0.0, 0.9333333333333333, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_3281,14,user,Thanks for the explanation!,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6111065614274118,"{""template"": ""business_consultation"", ""turn_ratio"": 0.875, ""content_length"": 27}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Perfect",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_1057,0,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6083814330148146,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [assistant]: That's a great question about data engineering. Let me explain... | [user]: That's very helpful | Turn 5, Budget: premium | Current: [assistant]: In the context of manufacturing, the key considerations are...",0,store,"[5.0, 62.0, 9.0, 1.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_1723,5,assistant,"In the context of manufacturing, the key considerations are...",technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7750896183739695,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.5555555555555556, ""content_length"": 62}"
"Context: [user]: I appreciate your help | [assistant]: That's a great question about machine learning. Let me explain... | Turn 10, Budget: premium | Current: [user]: Thanks for the explanation!",0,store,"[10.0, 27.0, 4.0, 0.0, 0.9090909090909091, 1.0, 0.0, 0.0, 0.0, 1.0]",technical_deep_dive_7996,10,user,Thanks for the explanation!,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7440828775696267,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 27}"
"Context: [user]: I'm particularly interested in aspect | [assistant]: Based on your software engineer background, I'd suggest... | Turn 4, Budget: premium | Current: [user]: I appreciate your help",0,store,"[4.0, 22.0, 4.0, 0.0, 0.8, 1.0, 0.0, 0.0, 0.0, 1.0]",technical_deep_dive_8456,4,user,I appreciate your help,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7125231498829606,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.2857142857142857, ""content_length"": 22}"
"Context: [user]: I'm particularly interested in aspect | [assistant]: You're very welcome! | Turn 4, Budget: minimal | Current: [user]: Alright",2,drop,"[4.0, 7.0, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_4730,4,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6677390994134486,"{""template"": ""casual_chat"", ""turn_ratio"": 0.8, ""content_length"": 7}"
"Context: [user]: That's very helpful | [assistant]: I can help you with that. | Turn 14, Budget: premium | Current: [user]: I appreciate your help",0,store,"[14.0, 22.0, 4.0, 0.0, 0.9333333333333333, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_9104,14,user,I appreciate your help,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6258559230655354,"{""template"": ""business_consultation"", ""turn_ratio"": 0.9333333333333333, ""content_length"": 22}"
"Context: [assistant]: I'm doing well, thank you for asking! | [user]: Perfect | Turn 5, Budget: minimal | Current: [assistant]: Feel free to ask if you have more questions.",0,store,"[5.0, 44.0, 9.0, 1.0, 0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.0]",casual_chat_2237,5,assistant,Feel free to ask if you have more questions.,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.06217159340673779,"{""template"": ""casual_chat"", ""turn_ratio"": 0.625, ""content_length"": 44}"
"Context: [user]: Thanks for the explanation! | [assistant]: Let me provide some guidance on that. | Turn 12, Budget: premium | Current: [user]: Thanks for the explanation!",0,store,"[12.0, 27.0, 4.0, 0.0, 0.9230769230769231, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_5146,12,user,Thanks for the explanation!,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6312415423564656,"{""template"": ""business_consultation"", ""turn_ratio"": 0.9230769230769231, ""content_length"": 27}"
"Context: [assistant]: In the context of healthcare, the key considerations are... | [user]: That's very helpful | Turn 5, Budget: premium | Current: [assistant]: That's a great question about data engineering. Let me explain...",0,store,"[5.0, 65.0, 10.0, 1.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_1487,5,assistant,That's a great question about data engineering. Let me explain...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7311117979993222,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.45454545454545453, ""content_length"": 65}"
"Context: [assistant]: I understand your situation. | [user]: I appreciate your help | Turn 5, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[5.0, 28.0, 4.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_3035,5,assistant,I understand your situation.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6459295377622649,"{""template"": ""educational_qa"", ""turn_ratio"": 0.7142857142857143, ""content_length"": 28}"
"Context: [user]: Thanks for the explanation! | [assistant]: That's an important consideration. | Turn 6, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[6.0, 27.0, 4.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_9955,6,user,Thanks for the explanation!,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6636675506377304,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.8571428571428571, ""content_length"": 27}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: I see",2,drop,"[0.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_6316,0,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6272306036912272,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 5}"
"Context: [user]: That's very helpful | [assistant]: I understand your situation. | Turn 12, Budget: standard | Current: [user]: That's very helpful",0,store,"[12.0, 19.0, 3.0, 0.0, 0.9230769230769231, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_8134,12,user,That's very helpful,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6345181438430595,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.8571428571428571, ""content_length"": 19}"
"Context: [user]: Thanks for the explanation! | [assistant]: Let me provide some guidance on that. | Turn 6, Budget: premium | Current: [user]: That's very helpful",0,store,"[6.0, 19.0, 3.0, 0.0, 0.8571428571428571, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_5600,6,user,That's very helpful,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5570687314544458,"{""template"": ""business_consultation"", ""turn_ratio"": 0.46153846153846156, ""content_length"": 19}"
"Context: [user]: Got it, thanks | Turn 1, Budget: minimal | Current: [assistant]: You're very welcome!",0,store,"[1.0, 20.0, 3.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_5784,1,assistant,You're very welcome!,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.09942809716977348,"{""template"": ""casual_chat"", ""turn_ratio"": 0.14285714285714285, ""content_length"": 20}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_3691,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7140495905670649,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
